/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-1.6044,  0.4729, -2.4271,  ...,  0.1904, -1.1197, -1.4282],
        [ 0.3887, -0.7843, -0.6588,  ..., -0.3656, -0.6211, -1.1720],
        [-0.3856, -1.1471, -0.4307,  ...,  0.6913, -0.7211, -1.0215],
        ...,
        [-0.0080, -0.2538, -0.9702,  ..., -1.1901, -0.5222,  0.6477],
        [ 0.5920,  1.0174,  1.0977,  ..., -0.2145, -0.4894, -0.1639],
        [-0.6937,  0.3161, -0.5045,  ..., -0.8619, -0.6123, -1.0198]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.2241,  0.9458, -2.0821,  ..., -0.6025, -0.0052, -0.2620],
        [-0.8491, -0.8706,  0.4532,  ...,  0.4946, -0.5669, -1.5401],
        [-2.5729,  0.6892, -0.8113,  ..., -0.0893, -0.8501,  0.3688],
        ...,
        [-2.4287, -1.9116, -1.3283,  ..., -2.7402, -3.3932, -1.9269],
        [-1.1485,  0.5633, -1.6684,  ..., -0.1708,  1.8651,  0.9164],
        [-0.2138,  0.2835, -1.1681,  ..., -0.8012, -1.5062, -0.5599]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.3730, -0.7199, -2.7721,  ..., -0.5563, -2.0616, -1.1178],
        [-0.2028, -0.2531, -1.2940,  ..., -0.2246, -1.7258, -1.0482],
        [-0.5435, -0.1332, -3.4372,  ..., -0.8261, -1.0437, -1.9632],
        ...,
        [-1.2031,  0.6812, -0.6977,  ...,  1.0181, -0.2643, -1.5972],
        [-0.7280, -0.2888, -2.3855,  ..., -0.1570, -2.9318, -1.6714],
        [-1.0321, -0.5443, -2.7570,  ..., -0.3563, -2.8538, -2.0518]],
       device='cuda:0', requires_grad=True)
Epoch 141: loss=0.56336
Epoch 142: loss=0.57531
Epoch 143: loss=0.57716
Epoch 144: loss=0.56948
Epoch 145: loss=0.57443
Epoch 146: loss=0.54935
Epoch 147: loss=0.55065
Epoch 148: loss=0.58671
Epoch 149: loss=0.62590
Epoch 150: loss=0.57493
Epoch 151: loss=0.59115
Epoch 152: loss=0.61193
Epoch 153: loss=0.58884
Epoch 154: loss=0.58535
Epoch 155: loss=0.58433
Epoch 156: loss=0.60785
Epoch 157: loss=0.57950
Epoch 158: loss=0.57614
Epoch 159: loss=0.59592
Epoch 160: loss=0.57514
Epoch 161: loss=0.58901
Epoch 162: loss=0.56741
Epoch 163: loss=0.55717
Epoch 164: loss=0.55205
Epoch 165: loss=0.58303
Epoch 166: loss=0.59720
Epoch 167: loss=0.58869
Epoch 168: loss=0.56770
Epoch 169: loss=0.60369
Epoch 170: loss=0.58713
Epoch 171: loss=0.57281
Epoch 172: loss=0.58014
Epoch 173: loss=0.55731
Epoch 174: loss=0.60836
Epoch 175: loss=0.58122
Epoch 176: loss=0.56406
Epoch 177: loss=0.55226
Epoch 178: loss=0.60472
Epoch 179: loss=0.55896
Epoch 180: loss=0.56858
Epoch 181: loss=0.57324
Epoch 182: loss=0.59838
Epoch 183: loss=0.57868
Epoch 184: loss=0.59662
Epoch 185: loss=0.64353
Epoch 186: loss=0.61511
Epoch 187: loss=0.58487
Epoch 188: loss=0.60629
Epoch 189: loss=0.58851
Epoch 190: loss=0.56792
Epoch 191: loss=0.57589
Epoch 192: loss=0.58005
Epoch 193: loss=0.57446
Epoch 194: loss=0.59592
Epoch 195: loss=0.55677
Epoch 196: loss=0.56961
Epoch 197: loss=0.57681
Epoch 198: loss=0.56946
Epoch 199: loss=0.58053
Epoch 200: loss=0.58661
Epoch 201: loss=0.59089
Epoch 202: loss=0.59534
Epoch 203: loss=0.58084
Epoch 204: loss=0.58767
Epoch 205: loss=0.59423
Epoch 206: loss=0.59678
Epoch 207: loss=0.57883
Epoch 208: loss=0.58193
Epoch 209: loss=0.57817
Epoch 210: loss=0.60016
Epoch 211: loss=0.56817
Epoch 212: loss=0.55093
Epoch 213: loss=0.58042
Epoch 214: loss=0.58653
Epoch 215: loss=0.58824
Epoch 216: loss=0.57351
Epoch 217: loss=0.58508
Epoch 218: loss=0.56389
Epoch 219: loss=0.57614
Epoch 220: loss=0.59489
Epoch 221: loss=0.55717
Epoch 222: loss=0.55941
Epoch 223: loss=0.55876
Epoch 224: loss=0.57868
Epoch 225: loss=0.55808
Epoch 226: loss=0.57021
Epoch 227: loss=0.55337
Epoch 228: loss=0.57620
Epoch 229: loss=0.53715
Epoch 230: loss=0.56091
Epoch 231: loss=0.57073
Epoch 232: loss=0.57554
Epoch 233: loss=0.55058
Epoch 234: loss=0.55861
Epoch 235: loss=0.56274
Epoch 236: loss=0.59951
Epoch 237: loss=0.56877
Epoch 238: loss=0.57414
Epoch 239: loss=0.55207
Epoch 240: loss=0.56889
Epoch 241: loss=0.55705
Epoch 242: loss=0.58866
Epoch 243: loss=0.58388
Epoch 244: loss=0.54898
Epoch 245: loss=0.58663
Epoch 246: loss=0.57692
Epoch 247: loss=0.55923
Epoch 248: loss=0.54733
Epoch 249: loss=0.58396
Epoch 250: loss=0.58846
Epoch 251: loss=0.60964
Epoch 252: loss=0.55127
Epoch 253: loss=0.56450
Epoch 254: loss=0.55638
Epoch 255: loss=0.54767
Epoch 256: loss=0.58861
Epoch 257: loss=0.57484
Epoch 258: loss=0.55738
Epoch 259: loss=0.54616
Epoch 260: loss=0.58164
Epoch 261: loss=0.56171
Epoch 262: loss=0.54958
Epoch 263: loss=0.59301
Epoch 264: loss=0.56402
Epoch 265: loss=0.55750
Epoch 266: loss=0.58517
Epoch 267: loss=0.56667
Epoch 268: loss=0.55824
Epoch 269: loss=0.54806
Epoch 270: loss=0.54767
Epoch 271: loss=0.55982
Epoch 272: loss=0.52313
Epoch 273: loss=0.58014
Epoch 274: loss=0.56021
Epoch 275: loss=0.55702
Epoch 276: loss=0.53420
Epoch 277: loss=0.56209
Epoch 278: loss=0.58181
Epoch 279: loss=0.55563
Epoch 280: loss=0.56009
Epoch 281: loss=0.55047
Epoch 282: loss=0.56447
Epoch 283: loss=0.57806
Epoch 284: loss=0.56209
Epoch 285: loss=0.57429
Epoch 286: loss=0.57311
Epoch 287: loss=0.57799
Epoch 288: loss=0.57693
Epoch 289: loss=0.53551
Epoch 290: loss=0.56467
Epoch 291: loss=0.57100
Epoch 292: loss=0.57457
Epoch 293: loss=0.52308
Epoch 294: loss=0.53145
Epoch 295: loss=0.55630
Epoch 296: loss=0.58310
Epoch 297: loss=0.56226
Epoch 298: loss=0.53681
Epoch 299: loss=0.56180
Epoch 300: loss=0.58760
Epoch 301: loss=0.58310
Epoch 302: loss=0.56625
Epoch 303: loss=0.59802
Epoch 304: loss=0.57210
Epoch 305: loss=0.57930
Epoch 306: loss=0.57980
Epoch 307: loss=0.57317
Epoch 308: loss=0.59408
Epoch 309: loss=0.56361
Epoch 310: loss=0.55793
Epoch 311: loss=0.57899
Epoch 312: loss=0.56331
Epoch 313: loss=0.56235
Epoch 314: loss=0.56630
Epoch 315: loss=0.55006
Epoch 316: loss=0.57506
Epoch 317: loss=0.57096
Epoch 318: loss=0.58430
Epoch 319: loss=0.56592
Epoch 320: loss=0.56763
Epoch 321: loss=0.57955
Epoch 322: loss=0.56380
Epoch 323: loss=0.58689
Epoch 324: loss=0.57195
Epoch 325: loss=0.54487
Epoch 326: loss=0.57031
Epoch 327: loss=0.57013
Epoch 328: loss=0.55559
