/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/dataset/shddataset/
The file is present.
tensor([[ 0.0462,  0.0102,  0.0723,  ...,  0.0544, -0.0174, -0.0168],
        [-0.1185,  0.0010, -0.0097,  ...,  0.0648, -0.1509, -0.1472],
        [-0.0164,  0.0162,  0.0206,  ...,  0.1099,  0.0064, -0.0839],
        ...,
        [-0.0573,  0.0811, -0.0140,  ...,  0.0185, -0.0178, -0.0511],
        [-0.0140,  0.0434, -0.0102,  ...,  0.0135,  0.0197,  0.1059],
        [ 0.0353, -0.0147,  0.0373,  ...,  0.0678,  0.0259,  0.0131]],
       device='cuda:0', requires_grad=True)
tensor([[-0.1455, -0.0720, -0.4756,  ..., -0.0312,  0.0296,  0.1548],
        [-0.0815, -0.0642, -0.2745,  ..., -0.0384, -0.0169,  0.1139],
        [-0.1210, -0.0912, -0.1672,  ..., -0.0517, -0.3236, -0.1962],
        ...,
        [-0.0316, -0.0023, -0.3373,  ..., -0.0867, -0.1422, -0.3105],
        [-0.1121, -0.0058, -0.4748,  ..., -0.1562,  0.0919,  0.0009],
        [-0.1146, -0.0987,  0.0930,  ..., -0.1094, -0.5861, -0.0544]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.1092, -0.1450, -0.1100,  ...,  0.0130,  0.0970, -0.2215],
        [-0.0737,  0.1466, -0.2300,  ..., -0.1268, -0.0312, -0.4631],
        [-0.3731, -0.1666, -0.0439,  ..., -0.2316, -0.2115, -0.3983],
        ...,
        [-0.1030, -0.1131, -0.0221,  ..., -0.0947, -0.1381, -0.4759],
        [-0.1073, -0.0491, -0.2083,  ..., -0.1883, -0.1541, -0.3013],
        [-0.2104, -0.0513, -0.2394,  ..., -0.0925, -0.2973, -0.2777]],
       device='cuda:0', requires_grad=True)
Epoch 142: loss=1.21920
Epoch 143: loss=1.21398
Epoch 144: loss=1.20931
Epoch 145: loss=1.21695
Epoch 146: loss=1.22322
Epoch 147: loss=1.21559
Epoch 148: loss=1.21551
Epoch 149: loss=1.20676
Epoch 150: loss=1.21562
Epoch 151: loss=1.21775
Epoch 152: loss=1.21244
Epoch 153: loss=1.21778
Epoch 154: loss=1.21405
Epoch 155: loss=1.20954
Epoch 156: loss=1.21394
Epoch 157: loss=1.21435
Epoch 158: loss=1.21071
Epoch 159: loss=1.21198
Epoch 160: loss=1.21728
Epoch 161: loss=1.21006
Epoch 162: loss=1.21594
Epoch 163: loss=1.20995
Epoch 164: loss=1.21785
Epoch 165: loss=1.21020
Epoch 166: loss=1.20621
Epoch 167: loss=1.21214
Epoch 168: loss=1.20538
Epoch 169: loss=1.21864
Epoch 170: loss=1.20535
Epoch 171: loss=1.21192
Epoch 172: loss=1.20516
Epoch 173: loss=1.20373
Epoch 174: loss=1.21329
Epoch 175: loss=1.20846
Epoch 176: loss=1.20367
Epoch 177: loss=1.20364
Epoch 178: loss=1.20337
Epoch 179: loss=1.21432
Epoch 180: loss=1.20700
Epoch 181: loss=1.21097
Epoch 182: loss=1.20817
Epoch 183: loss=1.20984
Epoch 184: loss=1.20669
Epoch 185: loss=1.20436
Epoch 186: loss=1.20191
Epoch 187: loss=1.20717
Epoch 188: loss=1.21717
Epoch 189: loss=1.20010
Epoch 190: loss=1.20742
Epoch 191: loss=1.20770
Epoch 192: loss=1.20299
Epoch 193: loss=1.20926
Epoch 194: loss=1.20066
Epoch 195: loss=1.20878
Epoch 196: loss=1.20819
Epoch 197: loss=1.19783
Epoch 198: loss=1.20618
Epoch 199: loss=1.21232
Epoch 200: loss=1.20330
Epoch 201: loss=1.20776
Epoch 202: loss=1.20244
Epoch 203: loss=1.20593
Epoch 204: loss=1.20935
Epoch 205: loss=1.20358
Epoch 206: loss=1.21038
Epoch 207: loss=1.20685
Epoch 208: loss=1.20324
Epoch 209: loss=1.20385
Epoch 210: loss=1.20065
Epoch 211: loss=1.20616
Epoch 212: loss=1.21250
Epoch 213: loss=1.20048
Epoch 214: loss=1.20154
Epoch 215: loss=1.20856
Epoch 216: loss=1.20088
Epoch 217: loss=1.20534
Epoch 218: loss=1.20756
Epoch 219: loss=1.20454
Epoch 220: loss=1.21119
Epoch 221: loss=1.20083
Epoch 222: loss=1.21054
Epoch 223: loss=1.20069
Epoch 224: loss=1.19843
Epoch 225: loss=1.20600
Epoch 226: loss=1.19630
Epoch 227: loss=1.21014
Epoch 228: loss=1.20052
Epoch 229: loss=1.20150
Epoch 230: loss=1.20188
Epoch 231: loss=1.19611
Epoch 232: loss=1.19380
Epoch 233: loss=1.20273
Epoch 234: loss=1.20584
Epoch 235: loss=1.20629
Epoch 236: loss=1.19972
Epoch 237: loss=1.20954
Epoch 238: loss=1.20874
