/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-0.3736, -0.2455, -0.2761,  ..., -0.2507, -0.0999, -0.2041],
        [-0.6135, -0.0575, -0.3016,  ..., -0.1898, -0.2959,  0.0298],
        [-0.7343, -0.1748, -0.3905,  ..., -0.0220,  0.0534, -0.4840],
        ...,
        [-0.3045, -0.2113, -0.0228,  ..., -0.1193, -0.2526, -0.1382],
        [-0.3156, -0.2966, -0.2647,  ..., -0.4898, -0.2091, -0.0882],
        [-0.3192,  0.1217,  0.0259,  ..., -0.1116, -0.2686, -0.0308]],
       device='cuda:0', requires_grad=True)
tensor([[-1.1935e-01,  2.5824e-01, -7.6443e-01,  ..., -1.9459e-02,
Epoch 134: loss=0.91595
Epoch 135: loss=0.91764
Epoch 136: loss=0.91459
Epoch 137: loss=0.91331
Epoch 138: loss=0.91818
Epoch 139: loss=0.91240
Epoch 140: loss=0.90828
Epoch 141: loss=0.90195
Epoch 142: loss=0.91673
Epoch 143: loss=0.91272
Epoch 144: loss=0.91788
Epoch 145: loss=0.90952
Epoch 146: loss=0.91171
Epoch 147: loss=0.91158
Epoch 148: loss=0.90019
Epoch 149: loss=0.91099
Epoch 150: loss=0.90813
Epoch 151: loss=0.90588
Epoch 152: loss=0.91165
Epoch 153: loss=0.91332
Epoch 154: loss=0.90210
Epoch 155: loss=0.90642
Epoch 156: loss=0.90673
Epoch 157: loss=0.90705
Epoch 158: loss=0.90921
Epoch 159: loss=0.90462
Epoch 160: loss=0.90523
Epoch 161: loss=0.91290
Epoch 162: loss=0.90647
Epoch 163: loss=0.91043
Epoch 164: loss=0.90772
Epoch 165: loss=0.90841
Epoch 166: loss=0.90389
Epoch 167: loss=0.90536
Epoch 168: loss=0.90661
Epoch 169: loss=0.90030
Epoch 170: loss=0.89798
Epoch 171: loss=0.90755
Epoch 172: loss=0.90639
Epoch 173: loss=0.89970
Epoch 174: loss=0.90666
Epoch 175: loss=0.89966
Epoch 176: loss=0.89962
Epoch 177: loss=0.90282
Epoch 178: loss=0.90177
Epoch 179: loss=0.89997
Epoch 180: loss=0.89430
Epoch 181: loss=0.90689
Epoch 182: loss=0.89995
Epoch 183: loss=0.90815
Epoch 184: loss=0.89741
Epoch 185: loss=0.90705
Epoch 186: loss=0.89715
Epoch 187: loss=0.90677
Epoch 188: loss=0.90006
Epoch 189: loss=0.91084
Epoch 190: loss=0.90502
Epoch 191: loss=0.90871
Epoch 192: loss=0.90353
Epoch 193: loss=0.90337
Epoch 194: loss=0.90852
Epoch 195: loss=0.90873
Epoch 196: loss=0.90113
Epoch 197: loss=0.90313
Epoch 198: loss=0.90624
Epoch 199: loss=0.90073
Epoch 200: loss=0.90022
Epoch 201: loss=0.91298
Epoch 202: loss=0.90701
Epoch 203: loss=0.90644
Epoch 204: loss=0.90476
Epoch 205: loss=0.91474
Epoch 206: loss=0.91181
Epoch 207: loss=0.90291
Epoch 208: loss=0.89927
Epoch 209: loss=0.89943
Epoch 210: loss=0.90563
Epoch 211: loss=0.89356
Epoch 212: loss=0.89283
Epoch 213: loss=0.90397
Epoch 214: loss=0.90007
Epoch 215: loss=0.90154
Epoch 216: loss=0.89998
Epoch 217: loss=0.90100
Epoch 218: loss=0.90618
Epoch 219: loss=0.90792
Epoch 220: loss=0.90303
Epoch 221: loss=0.91264
Epoch 222: loss=0.90298
Epoch 223: loss=0.89705
Epoch 224: loss=0.90239
Epoch 225: loss=0.90230
Epoch 226: loss=0.91099
Epoch 227: loss=0.90542
Epoch 228: loss=0.90873
Epoch 229: loss=0.90757
Epoch 230: loss=0.90907
Epoch 231: loss=0.90379
Epoch 232: loss=0.91110
Epoch 233: loss=0.90723
Epoch 234: loss=0.91174
Epoch 235: loss=0.91273
Epoch 236: loss=0.91030
Epoch 237: loss=0.90877
Epoch 238: loss=0.89959
Epoch 239: loss=0.90569
Epoch 240: loss=0.90362
Epoch 241: loss=0.90752
Epoch 242: loss=0.90191
Epoch 243: loss=0.90420
Epoch 244: loss=0.90840
Epoch 245: loss=0.90407
Epoch 246: loss=0.90166
Epoch 247: loss=0.90311
Epoch 248: loss=0.90347
Epoch 249: loss=0.90650
Epoch 250: loss=0.90710
Epoch 251: loss=0.90144
Epoch 252: loss=0.90729
Epoch 253: loss=0.90076
Epoch 254: loss=0.89693
Epoch 255: loss=0.89784
Epoch 256: loss=0.89645
Epoch 257: loss=0.90909
Epoch 258: loss=0.89869
Epoch 259: loss=0.90112
Epoch 260: loss=0.90856
Epoch 261: loss=0.89840
Epoch 262: loss=0.89957
Epoch 263: loss=0.90339
Epoch 264: loss=0.89933
Epoch 265: loss=0.90394
Epoch 266: loss=0.89998
Epoch 267: loss=0.90146
Epoch 268: loss=0.89208
Epoch 269: loss=0.90374
Epoch 270: loss=0.90084
Epoch 271: loss=0.89732
Epoch 272: loss=0.90314
Epoch 273: loss=0.89999
Epoch 274: loss=0.89716
Epoch 275: loss=0.90008
Epoch 276: loss=0.89115
Epoch 277: loss=0.89934
Epoch 278: loss=0.89555
Epoch 279: loss=0.90386
Epoch 280: loss=0.90411
Epoch 281: loss=0.89565
Epoch 282: loss=0.90693
Epoch 283: loss=0.91421
Epoch 284: loss=0.90239
Epoch 285: loss=0.90098
Epoch 286: loss=0.90561
Epoch 287: loss=0.89353
Epoch 288: loss=0.89628
Epoch 289: loss=0.89832
Epoch 290: loss=0.90236
Epoch 291: loss=0.90361
Epoch 292: loss=0.90370
Epoch 293: loss=0.90135
Epoch 294: loss=0.91051
Epoch 295: loss=0.89830
Epoch 296: loss=0.89099
Epoch 297: loss=0.89948
Epoch 298: loss=0.89912
Epoch 299: loss=0.89748
Epoch 300: loss=0.89784
Epoch 301: loss=0.89431
Epoch 302: loss=0.89655
Epoch 303: loss=0.89887
Epoch 304: loss=0.89867
Epoch 305: loss=0.89806
Epoch 306: loss=0.90905
Epoch 307: loss=0.90975
Epoch 308: loss=0.89332
Epoch 309: loss=0.90531
Epoch 310: loss=0.89583
Epoch 311: loss=0.89991
Epoch 312: loss=0.89102
Epoch 313: loss=0.89882
Epoch 314: loss=0.90368
Epoch 315: loss=0.89876
Epoch 316: loss=0.90136
Epoch 317: loss=0.89522
Epoch 318: loss=0.89559
Epoch 319: loss=0.90912
Epoch 320: loss=0.89532
Epoch 321: loss=0.89819
Epoch 322: loss=0.90208
Epoch 323: loss=0.89495
Epoch 324: loss=0.89844
Epoch 325: loss=0.89303
Epoch 326: loss=0.89997
Epoch 327: loss=0.90610
Epoch 328: loss=0.90118
Epoch 329: loss=0.90236
Epoch 330: loss=0.89750
Epoch 331: loss=0.90074
Epoch 332: loss=0.89694
Epoch 333: loss=0.89774
Epoch 334: loss=0.90763
Epoch 335: loss=0.90325
Epoch 336: loss=0.90328
Epoch 337: loss=0.89990
Epoch 338: loss=0.89707
Epoch 339: loss=0.89744
Epoch 340: loss=0.89368
Epoch 341: loss=0.90365
Epoch 342: loss=0.90185
